pair_id,objective,cost_a,cost_b,agreement_count,vertices_compared,agreement_fraction
2014e5_to_1955e5,bottleneck,log_length_distortion,mean_distance_tangent,32,51,0.6274509803921569
2014e5_to_1955e5,bottleneck,log_length_distortion,relative_length_error,48,51,0.9411764705882353
2014e5_to_1955e5,bottleneck,log_length_distortion,symmetric_corridor_exceedance,31,51,0.6078431372549019
2014e5_to_1955e5,bottleneck,mean_distance_tangent,relative_length_error,32,51,0.6274509803921569
2014e5_to_1955e5,bottleneck,mean_distance_tangent,symmetric_corridor_exceedance,44,51,0.8627450980392157
2014e5_to_1955e5,bottleneck,relative_length_error,symmetric_corridor_exceedance,31,51,0.6078431372549019
2014e5_to_2014e3,additive,discrete_frechet_distance,dynamic_time_warping_distance,51,51,1.0
2014e5_to_2014e3,additive,discrete_frechet_distance,hausdorff_distance,51,51,1.0
2014e5_to_2014e3,additive,discrete_frechet_distance,log_length_distortion,48,51,0.9411764705882353
2014e5_to_2014e3,additive,discrete_frechet_distance,mean_distance_tangent,50,51,0.9803921568627451
2014e5_to_2014e3,additive,discrete_frechet_distance,relative_length_error,48,51,0.9411764705882353
2014e5_to_2014e3,additive,discrete_frechet_distance,symmetric_corridor_exceedance,24,51,0.47058823529411764
2014e5_to_2014e3,additive,dynamic_time_warping_distance,hausdorff_distance,51,51,1.0
2014e5_to_2014e3,additive,dynamic_time_warping_distance,log_length_distortion,48,51,0.9411764705882353
2014e5_to_2014e3,additive,dynamic_time_warping_distance,mean_distance_tangent,50,51,0.9803921568627451
2014e5_to_2014e3,additive,dynamic_time_warping_distance,relative_length_error,48,51,0.9411764705882353
2014e5_to_2014e3,additive,dynamic_time_warping_distance,symmetric_corridor_exceedance,24,51,0.47058823529411764
2014e5_to_2014e3,additive,hausdorff_distance,log_length_distortion,48,51,0.9411764705882353
2014e5_to_2014e3,additive,hausdorff_distance,mean_distance_tangent,50,51,0.9803921568627451
2014e5_to_2014e3,additive,hausdorff_distance,relative_length_error,48,51,0.9411764705882353
2014e5_to_2014e3,additive,hausdorff_distance,symmetric_corridor_exceedance,24,51,0.47058823529411764
2014e5_to_2014e3,additive,log_length_distortion,mean_distance_tangent,49,51,0.9607843137254902
2014e5_to_2014e3,additive,log_length_distortion,relative_length_error,47,51,0.9215686274509803
2014e5_to_2014e3,additive,log_length_distortion,symmetric_corridor_exceedance,25,51,0.49019607843137253
