source,target,rho,candidate_mode,top_k,subdivision_points,adaptive_max_points_per_source,adaptive_min_separation,matching_target_vertices,matching_target_edges,empty_domains,total_candidates,minimum_candidates,maximum_candidates,estimated_state_upper_bound,largest_candidate_product,elapsed_seconds,status,error
1998e11,1955e7,10.0,original_target_vertices,25,2,8,1.0,1334,1335,1,11,0,11,0,0,0.189647,ok,
1998e11,1955e7,10.0,uniform_target_subdivision,25,2,8,1.0,26,27,1,1,0,1,0,0,0.025227,ok,
1998e11,1955e7,10.0,adaptive_closest_points,25,2,8,1.0,8,9,1,1,0,1,0,0,0.012656,ok,
1998e11,1955e7,12.5,target_junctions,25,2,8,1.0,8,9,1,2,0,2,0,0,0.003025,ok,
1998e11,1955e7,12.5,original_target_vertices,25,2,8,1.0,1334,1335,1,12,0,12,0,0,0.195807,ok,
1998e11,1955e7,12.5,uniform_target_subdivision,25,2,8,1.0,26,27,1,1,0,1,0,0,0.028458,ok,
1998e11,1955e7,12.5,adaptive_closest_points,25,2,8,1.0,8,9,1,1,0,1,0,0,0.013668,ok,
1998e11,1998e3,10.0,target_junctions,25,2,8,1.0,321,509,0,7,3,4,12,12,0.122778,ok,
1998e11,1998e3,10.0,original_target_vertices,25,2,8,1.0,4322,4511,0,18,7,11,77,77,0.431999,ok,
1998e11,1998e3,10.0,uniform_target_subdivision,25,2,8,1.0,1339,1527,0,6,3,3,9,9,0.411159,ok,
1998e11,1998e3,10.0,adaptive_closest_points,25,2,8,1.0,322,510,0,4,2,2,4,4,0.171533,ok,
1998e11,1998e3,12.5,target_junctions,25,2,8,1.0,321,509,0,9,4,5,20,20,0.132614,ok,
1998e11,1998e3,12.5,original_target_vertices,25,2,8,1.0,4322,4511,0,25,11,14,154,154,0.404804,ok,
1998e11,1998e3,12.5,uniform_target_subdivision,25,2,8,1.0,1339,1527,0,10,4,6,24,24,0.396491,ok,
1998e11,1998e3,12.5,adaptive_closest_points,25,2,8,1.0,322,510,0,5,2,3,6,6,0.178271,ok,
1998e11,1998e5,10.0,target_junctions,25,2,8,1.0,54,78,0,6,2,4,8,8,0.021824,ok,
1998e11,1998e5,10.0,original_target_vertices,25,2,8,1.0,2353,2377,0,18,7,11,77,77,0.321266,ok,
1998e11,1998e5,10.0,uniform_target_subdivision,25,2,8,1.0,210,234,0,3,1,2,2,2,0.087997,ok,
1998e11,1998e5,10.0,adaptive_closest_points,25,2,8,1.0,54,78,0,3,1,2,2,2,0.013488,ok,
1998e11,1998e5,12.5,target_junctions,25,2,8,1.0,54,78,0,6,2,4,8,8,0.020629,ok,
1998e11,1998e5,12.5,original_target_vertices,25,2,8,1.0,2353,2377,0,22,8,14,112,112,0.275024,ok,
1998e11,1998e5,12.5,uniform_target_subdivision,25,2,8,1.0,210,234,0,3,1,2,2,2,0.085734,ok,
1998e11,1998e5,12.5,adaptive_closest_points,25,2,8,1.0,54,78,0,3,1,2,2,2,0.013367,ok,
1998e11,1998e7,10.0,target_junctions,25,2,8,1.0,14,18,0,4,2,2,4,4,0.005679,ok,
1998e11,1998e7,10.0,original_target_vertices,25,2,8,1.0,1545,1549,0,14,7,7,49,49,0.213813,ok,
1998e11,1998e7,10.0,uniform_target_subdivision,25,2,8,1.0,50,54,0,2,1,1,1,1,0.035032,ok,
1998e11,1998e7,10.0,adaptive_closest_points,25,2,8,1.0,14,18,0,2,1,1,1,1,0.009371,ok,
1998e11,1998e7,12.5,target_junctions,25,2,8,1.0,14,18,0,4,2,2,4,4,0.005226,ok,
1998e11,1998e7,12.5,original_target_vertices,25,2,8,1.0,1545,1549,0,17,8,9,72,72,0.222006,ok,
1998e11,1998e7,12.5,uniform_target_subdivision,25,2,8,1.0,50,54,0,2,1,1,1,1,0.034447,ok,
1998e11,1998e7,12.5,adaptive_closest_points,25,2,8,1.0,14,18,0,2,1,1,1,1,0.009135,ok,
1998e11,2014e3,10.0,target_junctions,25,2,8,1.0,317,493,0,8,2,6,12,12,0.119267,ok,
1998e11,2014e3,10.0,original_target_vertices,25,2,8,1.0,4059,4236,0,19,7,12,84,84,0.391085,ok,
1998e11,2014e3,10.0,uniform_target_subdivision,25,2,8,1.0,1303,1479,0,10,3,7,21,21,0.381524,ok,
1998e11,2014e3,10.0,adaptive_closest_points,25,2,8,1.0,317,493,0,4,1,3,3,3,0.059711,ok,
1998e11,2014e3,12.5,target_junctions,25,2,8,1.0,317,493,0,12,5,7,35,35,0.120820,ok,
1998e11,2014e3,12.5,original_target_vertices,25,2,8,1.0,4059,4236,0,30,11,19,209,209,0.387546,ok,
1998e11,2014e3,12.5,uniform_target_subdivision,25,2,8,1.0,1303,1479,0,14,4,10,40,40,0.398116,ok,
1998e11,2014e3,12.5,adaptive_closest_points,25,2,8,1.0,320,496,0,8,3,5,15,15,0.169579,ok,
1998e11,2014e5,10.0,target_junctions,25,2,8,1.0,51,74,0,4,2,2,4,4,0.021049,ok,
1998e11,2014e5,10.0,original_target_vertices,25,2,8,1.0,2366,2389,0,13,6,7,42,42,0.277078,ok,
1998e11,2014e5,10.0,uniform_target_subdivision,25,2,8,1.0,199,222,0,4,2,2,4,4,0.087267,ok,
1998e11,2014e5,10.0,adaptive_closest_points,25,2,8,1.0,51,74,0,2,1,1,1,1,0.010437,ok,
