candidate_semantics,source,target,source_vertices,source_edges,target_junction_vertices,target_junction_edges,candidate_mode,minimum_rho,top_k,subdivision_points,adaptive_max_points_per_source,adaptive_min_separation,matching_target_vertices,matching_target_edges,total_candidates,minimum_candidates,maximum_candidates,estimated_state_upper_bound,largest_candidate_product,search_seconds,status
baseline_junctions_plus_mode_additions_v2,1998e11,1955e7,2,1,8,9,target_junctions,25.813,25,2,8,1.0,8,9,4,2,2,4,4,0.070231,ok
baseline_junctions_plus_mode_additions_v2,1998e11,1955e7,2,1,8,9,original_target_vertices,25.813,25,2,8,1.0,1334,1335,18,2,16,32,32,0.209163,ok
baseline_junctions_plus_mode_additions_v2,1998e11,1955e7,2,1,8,9,uniform_target_subdivision,25.813,25,2,8,1.0,26,27,4,2,2,4,4,0.086725,ok
baseline_junctions_plus_mode_additions_v2,1998e11,1955e7,2,1,8,9,adaptive_closest_points,25.813,25,2,8,1.0,9,10,5,2,3,6,6,1.259843,ok
baseline_junctions_plus_mode_additions_v2,1998e11,1998e3,2,1,321,509,target_junctions,0,25,2,8,1.0,321,509,4,2,2,4,4,0.087693,ok
baseline_junctions_plus_mode_additions_v2,1998e11,1998e3,2,1,321,509,original_target_vertices,0,25,2,8,1.0,4322,4511,4,2,2,4,4,0.088303,ok
baseline_junctions_plus_mode_additions_v2,1998e11,1998e3,2,1,321,509,uniform_target_subdivision,0,25,2,8,1.0,1339,1527,4,2,2,4,4,0.025588,ok
baseline_junctions_plus_mode_additions_v2,1998e11,1998e3,2,1,321,509,adaptive_closest_points,0,25,2,8,1.0,321,509,4,2,2,4,4,0.085299,ok
baseline_junctions_plus_mode_additions_v2,1998e11,1998e5,2,1,54,78,target_junctions,0,25,2,8,1.0,54,78,4,2,2,4,4,0.011098,ok
baseline_junctions_plus_mode_additions_v2,1998e11,1998e5,2,1,54,78,original_target_vertices,0,25,2,8,1.0,2353,2377,4,2,2,4,4,0.016356,ok
baseline_junctions_plus_mode_additions_v2,1998e11,1998e5,2,1,54,78,uniform_target_subdivision,0,25,2,8,1.0,210,234,4,2,2,4,4,0.004307,ok
baseline_junctions_plus_mode_additions_v2,1998e11,1998e5,2,1,54,78,adaptive_closest_points,0,25,2,8,1.0,54,78,4,2,2,4,4,0.022608,ok
baseline_junctions_plus_mode_additions_v2,1998e11,1998e7,2,1,14,18,target_junctions,0,25,2,8,1.0,14,18,4,2,2,4,4,0.003594,ok
baseline_junctions_plus_mode_additions_v2,1998e11,1998e7,2,1,14,18,original_target_vertices,0,25,2,8,1.0,1545,1549,4,2,2,4,4,0.009244,ok
baseline_junctions_plus_mode_additions_v2,1998e11,1998e7,2,1,14,18,uniform_target_subdivision,0,25,2,8,1.0,50,54,4,2,2,4,4,0.002420,ok
baseline_junctions_plus_mode_additions_v2,1998e11,1998e7,2,1,14,18,adaptive_closest_points,0,25,2,8,1.0,14,18,4,2,2,4,4,0.030715,ok
baseline_junctions_plus_mode_additions_v2,1998e11,2014e3,2,1,317,493,target_junctions,1.119,25,2,8,1.0,317,493,4,2,2,4,4,0.793969,ok
baseline_junctions_plus_mode_additions_v2,1998e11,2014e3,2,1,317,493,original_target_vertices,1.119,25,2,8,1.0,4059,4236,5,2,3,6,6,0.965984,ok
baseline_junctions_plus_mode_additions_v2,1998e11,2014e3,2,1,317,493,uniform_target_subdivision,1.119,25,2,8,1.0,1303,1479,4,2,2,4,4,0.901385,ok
baseline_junctions_plus_mode_additions_v2,1998e11,2014e3,2,1,317,493,adaptive_closest_points,1.119,25,2,8,1.0,317,493,4,2,2,4,4,1.482468,ok
baseline_junctions_plus_mode_additions_v2,1998e11,2014e5,2,1,51,74,target_junctions,1.119,25,2,8,1.0,51,74,4,2,2,4,4,0.154342,ok
baseline_junctions_plus_mode_additions_v2,1998e11,2014e5,2,1,51,74,original_target_vertices,1.119,25,2,8,1.0,2366,2389,5,2,3,6,6,0.260101,ok
baseline_junctions_plus_mode_additions_v2,1998e11,2014e5,2,1,51,74,uniform_target_subdivision,1.119,25,2,8,1.0,199,222,4,2,2,4,4,0.174603,ok
baseline_junctions_plus_mode_additions_v2,1998e11,2014e5,2,1,51,74,adaptive_closest_points,1.119,25,2,8,1.0,51,74,4,2,2,4,4,0.317612,ok
baseline_junctions_plus_mode_additions_v2,1998e11,2014e7,2,1,12,15,target_junctions,1.119,25,2,8,1.0,12,15,4,2,2,4,4,0.040572,ok
baseline_junctions_plus_mode_additions_v2,1998e11,2014e7,2,1,12,15,original_target_vertices,1.119,25,2,8,1.0,1618,1621,5,2,3,6,6,0.118756,ok
baseline_junctions_plus_mode_additions_v2,1998e11,2014e7,2,1,12,15,uniform_target_subdivision,1.119,25,2,8,1.0,42,45,4,2,2,4,4,0.043556,ok
baseline_junctions_plus_mode_additions_v2,1998e11,2014e7,2,1,12,15,adaptive_closest_points,1.119,25,2,8,1.0,12,15,4,2,2,4,4,0.296196,ok
baseline_junctions_plus_mode_additions_v2,1998e3,1955e3,321,509,371,581,target_junctions,12.5,25,2,8,1.0,371,581,2210,2,17,6457753,1176000,4.296504,ok
baseline_junctions_plus_mode_additions_v2,1998e3,1955e3,321,509,371,581,original_target_vertices,12.5,25,2,8,1.0,4489,4703,9338,2,85,21724644275,10904536440,8.649818,ok
baseline_junctions_plus_mode_additions_v2,1998e3,1955e3,321,509,371,581,uniform_target_subdivision,12.5,25,2,8,1.0,1533,1743,4531,2,49,470952519,126595872,7.432598,ok
baseline_junctions_plus_mode_additions_v2,1998e3,1955e3,321,509,371,581,adaptive_closest_points,12.5,25,2,8,1.0,1273,1483,4161,2,25,108486702,16030080,102.808334,ok
baseline_junctions_plus_mode_additions_v2,1998e5,1955e3,54,78,371,581,target_junctions,12.5,25,2,8,1.0,371,581,384,2,17,139047,34000,1.726363,ok
baseline_junctions_plus_mode_additions_v2,1998e5,1955e3,54,78,371,581,original_target_vertices,12.5,25,2,8,1.0,4489,4703,1422,2,80,36353835,13994400,3.107594,ok
baseline_junctions_plus_mode_additions_v2,1998e5,1955e3,54,78,371,581,uniform_target_subdivision,12.5,25,2,8,1.0,1533,1743,752,2,49,2680867,1143072,2.269365,ok
